component,cmne,NOUN,components,,
round,roun,NOUN,rounds,,
picture,pur,NOUN,pictures,,
north,noh,ADV,,,
heat,,NOUN,heats,,
indeed,,ADV,,,
mainly,may,ADV,,,
figure,,NOUN,figures,,
Spanish,snh,ADJ,,,
contribute,crit,VERB,contributes,contributed,contributing
recognize,rcie,VERB,recognizes,recognized,recognizing
paint,,NOUN,paints,,
future,fut,NOUN,futures,,
deep,dep,ADJ,,,
spot,spot,NOUN,spots,,
task,tsk,NOUN,tasks,,
marriage,mari,NOUN,marriages,,
signal,sial,NOUN,signals,,
map,,NOUN,maps,,
mostly,mos,ADV,,,
file,fle,NOUN,files,,
edge,,NOUN,edges,,
foreign,fen,ADJ,,,
force,,VERB,forces,forced,forcing
object,obt,NOUN,objects,,
green,gre,ADJ,,,
explore,exl,VERB,explores,explored,exploring
gene,,NOUN,genes,,
cold,cod,ADJ,,,
daily,day,ADV,,,
what,,DET,,,
red,,ADJ,,,
quickly,,ADV,,,
officer,ofi,NOUN,officers,,
measure,,NOUN,measures,,
catch,,VERB,catches,caught,catching
coast,cast,NOUN,coasts,,
modern,mern,ADJ,,,
governor,gv,NOUN,governors,,
urban,urb,ADJ,,,
direct,dir,ADJ,,,
minister,mise,NOUN,ministers,,
society,scit,NOUN,societies,,
increase,,NOUN,increases,,
attempt,,VERB,attempts,attempted,attempting
customer,cus,NOUN,customers,,
concern,,VERB,concerns,concerned,concerning
fine,fin,ADJ,,,
nice,,ADJ,,,
encourage,enur,VERB,encourages,encouraged,encouraging
meeting,mein,NOUN,meetings,,
staff,,NOUN,staffs,,
feature,,VERB,features,featured,featuring
threat,,NOUN,threats,,
length,leg,NOUN,lengths,,
peace,,NOUN,peaces,,
track,trk,NOUN,tracks,,
supply,sul,NOUN,supplies,,
infection,into,NOUN,infections,,
experience,,VERB,experiences,experienced,experiencing
treat,,VERB,treats,treated,treating
discussion,don,NOUN,discussions,,
blood,blo,NOUN,bloods,,
serious,seiu,ADJ,,,
reaction,raci,NOUN,reactions,,
demonstrate,dnsa,VERB,demonstrates,demonstrated,demonstrating
global,go,ADJ,,,
future,,ADJ,,,
title,tile,NOUN,titles,,
path,path,NOUN,paths,,
wish,wis,VERB,wishes,wished,wishing
rock,rck,NOUN,rocks,,
skill,ski,NOUN,skills,,
unique,unie,ADJ,,,
gain,gai,VERB,gains,gained,gaining
trail,tail,NOUN,trails,,
previously,peis,ADV,,,
walk,,NOUN,walks,,
target,tag,NOUN,targets,,
sleep,slp,NOUN,sleeps,,
individual,,ADJ,,,
item,,NOUN,items,,
museum,mseu,NOUN,museums,,
race,,NOUN,races,,
aspect,asect,NOUN,aspects,,
collection,coti,NOUN,collections,,
evaluate,ealt,VERB,evaluates,evaluated,evaluating
public,,NOUN,publics,,
return,,NOUN,returns,,
reference,rfn,NOUN,references,,
crime,crm,NOUN,crimes,,
sign,,VERB,signs,signed,signing
highly,hig,ADV,,,
travel,,NOUN,travels,,
branch,bnh,NOUN,branches,,
mechanism,mhs,NOUN,mechanisms,,
post,,NOUN,posts,,
facility,fy,NOUN,facilities,,
complex,cx,ADJ,,,
link,lik,NOUN,links,,
consist,cnst,VERB,consists,consisted,consisting
regular,rgu,ADJ,,,
successful,suce,ADJ,,,
vary,vay,VERB,varies,varied,varying
platform,paf,NOUN,platforms,,
army,ary,NOUN,armies,,
couple,cou,NOUN,couples,,
legal,lega,ADJ,,,
ready,reay,ADJ,,,
maybe,mb,ADV,,,
measurement,mur,NOUN,measurements,,
refer,,VERB,refers,referred,referring
forest,fort,NOUN,forests,,
drink,dik,NOUN,drinks,,
throw,tow,VERB,throws,threw,throwing
interesting,ints,ADJ,,,
any,,PRON,,,
release,,NOUN,releases,,
trial,,NOUN,trials,,
fish,,NOUN,fish,,
influence,,VERB,influences,influenced,influencing
order,,VERB,orders,ordered,ordering
garden,gad,NOUN,gardens,,
concentration,cnai,NOUN,concentrations,,
respond,rson,VERB,responds,responded,responding
review,rvi,NOUN,reviews,,
pull,pul,VERB,pulls,pulled,pulling
soldier,sld,NOUN,soldiers,,
Russian,rui,ADJ,,,
another,,PRON,,,
advantage,avn,NOUN,advantages,,
responsible,rsni,ADJ,,,
heavy,hav,ADJ,,,
generate,get,VERB,generates,generated,generating
demand,,NOUN,demands,,
though,,ADV,,,
herself,,PRON,,,
weight,weht,NOUN,weights,,
worker,wre,NOUN,workers,,
bed,,NOUN,beds,,
concept,copt,NOUN,concepts,,
phone,pho,NOUN,phones,,
completely,cty,ADV,,,
visit,,NOUN,visits,,
cross,cros,VERB,crosses,crossed,crossing
paint,,VERB,paints,painted,painting
transport,taso,NOUN,transports,,
flower,fwe,NOUN,flowers,,
nearly,nay,ADV,,,
Q,,NOUN,Qs,,
guide,gie,NOUN,guides,,
Yeah,yeh,INTJ,,,
incident,incd,NOUN,incidents,,
wind,,NOUN,winds,,
lack,lck,NOUN,lacks,,
clean,clan,ADJ,,,
lake,lke,NOUN,lakes,,
newspaper,nsar,NOUN,newspapers,,
listen,litn,VERB,listens,listened,listening
blue,ble,ADJ,,,
distribution,dun,NOUN,distributions,,
deal,deal,NOUN,deals,,
speech,sech,NOUN,speeches,,
shall,,AUX,,,
relation,rain,NOUN,relations,,
independent,idp,ADJ,,,
northern,nthe,ADJ,,,
thought,thou,NOUN,thoughts,,
purchase,phae,VERB,purchases,purchased,purchasing
recommend,rcme,VERB,recommends,recommended,recommending
error,,NOUN,errors,,
sun,,NOUN,suns,,
owner,owr,NOUN,owners,,
combine,cmie,VERB,combines,combined,combining
manner,manr,NOUN,manners,,
top,,ADJ,,,
song,sng,NOUN,songs,,
cause,,NOUN,causes,,
council,cul,NOUN,councils,,
general,,NOUN,generals,,
additional,adin,ADJ,,,
numerous,nuo,ADJ,,,
hill,,NOUN,hills,,
worth,woth,ADJ,,,
phase,phas,NOUN,phases,,
with,with,SCONJ,,,
horse,,NOUN,horses,,
dark,dar,ADJ,,,
search,sach,NOUN,searches,,
European,eurp,ADJ,,,
engage,enga,VERB,engages,engaged,engaging
background,brn,NOUN,backgrounds,,
movie,mve,NOUN,movies,,
downtown,,NOUN,downtowns,,
ahead,,ADV,,,
hospital,hoi,NOUN,hospitals,,
interaction,intr,NOUN,interactions,,
victim,vct,NOUN,victims,,
primary,pim,ADJ,,,
online,,ADJ,,,
hang,hng,VERB,hangs,hung,hanging
economy,ecny,NOUN,economies,,
push,puh,VERB,pushes,pushed,pushing
tax,tx,NOUN,taxes,,
yesterday,ytr,NOUN,yesterdays,,
document,due,NOUN,documents,,
each,,PRON,,,
moreover,mvr,ADV,,,
apartment,armen,NOUN,apartments,,
benefit,bei,NOUN,benefits,,
care,,VERB,cares,cared,caring
bank,bnk,NOUN,banks,,
about,,SCONJ,,,
stress,,NOUN,stresses,,
enough,,ADJ,,,
professional,psia,ADJ,,,
respect,rsct,NOUN,respects,,
taxis,tax,NOUN,taxes,,
teach,teach,VERB,teaches,taught,teaching
conference,cnf,NOUN,conferences,,
director,dico,NOUN,directors,,
list,,VERB,lists,listed,listing
federal,fera,ADJ,,,
bridge,bri,NOUN,bridges,,
pick,pik,VERB,picks,picked,picking
replace,rpac,VERB,replaces,replaced,replacing
success,,NOUN,successes,,
south,suh,NOUN,souths,,
analyze,anye,VERB,analyzes,analyzed,analyzing
mark,mrk,VERB,marks,marked,marking
lead,,NOUN,leads,,
passenger,pasr,NOUN,passengers,,
sensor,,NOUN,sensors,,
weather,wah,NOUN,weathers,,
taxi,,NOUN,taxis,,
gold,gld,NOUN,golds,,
look,,NOUN,looks,,
memory,mry,NOUN,memories,,
tend,,VERB,tends,tended,tending
cry,cry,VERB,cries,cried,crying
hit,,VERB,hits,hit,hitting
total,toal,ADJ,,,
before,,ADV,,,
sister,siter,NOUN,sisters,,
spread,srd,VERB,spreads,spread,spreading
collect,colt,VERB,collects,collected,collecting
learning,leai,NOUN,learnings,,
importance,iora,NOUN,importances,,
protein,prei,NOUN,proteins,,
bill,bil,NOUN,bills,,
bottom,bom,NOUN,bottoms,,
head,,VERB,heads,headed,heading
drop,drp,VERB,drops,dropped,dropping
capacity,caty,NOUN,capacities,,
construction,cnsi,NOUN,constructions,,
arrest,arest,VERB,arrests,arrested,arresting
south,,ADV,,,
belong,ben,VERB,belongs,belonged,belonging
club,,NOUN,clubs,,
immediately,idal,ADV,,,
capture,ctue,VERB,captures,captured,capturing
topic,tpic,NOUN,topics,,
crisis,cris,NOUN,crises,,
requirement,reui,NOUN,requirements,,
shape,shpe,NOUN,shapes,,
approximately,ax,ADV,,,
southern,sthn,ADJ,,,
glass,gls,NOUN,glasses,,
unit,unit,NOUN,units,,
deal,,VERB,deals,dealt,dealing
realize,,VERB,realizes,realized,realizing
negative,ntv,ADJ,,,
generation,gti,NOUN,generations,,
aim,,VERB,aims,aimed,aiming
hair,,NOUN,hairs,,
decade,dcae,NOUN,decades,,
beginning,beni,NOUN,beginnings,,
fly,fly,VERB,flies,flew,flying
outcome,oum,NOUN,outcomes,,
investment,ines,NOUN,investments,,
frequency,frc,NOUN,frequencies,,
presidential,psti,ADJ,,,
attract,,VERB,attracts,attracted,attracting
declare,dcl,VERB,declares,declared,declaring
fully,fuy,ADV,,,
reveal,rva,VERB,reveals,revealed,revealing
hard,,ADV,,,
intend,,VERB,intends,intended,intending
ice,,NOUN,ices,,
instance,istae,NOUN,instances,,
cancer,canr,NOUN,cancers,,
participate,patc,VERB,participates,participated,participating
penalty,pty,NOUN,penalties,,
relatively,ratie,ADV,,,
ferry,fey,NOUN,ferries,,
respectively,rety,ADV,,,
characteristic,chai,NOUN,characteristics,,
scene,scen,NOUN,scenes,,
violence,vic,NOUN,violences,,
resolution,rstn,NOUN,resolutions,,
majority,maj,NOUN,majorities,,
domain,doai,NOUN,domains,,
cheap,chap,ADJ,,,
injury,ijr,NOUN,injuries,,
chief,chie,NOUN,chiefs,,
engine,engi,NOUN,engines,,
unknown,uow,ADJ,,,
evening,evni,NOUN,evenings,,
dish,dih,NOUN,dishes,,
kid,,NOUN,kids,,
adopt,adp,VERB,adopts,adopted,adopting
financial,fac,ADJ,,,
stop,,NOUN,stops,,
rich,,ADJ,,,
anyone,ayo,NOUN,anyones,,
edition,,NOUN,editions,,
critical,ctal,ADJ,,,
Chinese,chis,ADJ,,,
journalist,ja,NOUN,journalists,,
overall,ova,ADJ,,,
refuse,rfu,VERB,refuses,refused,refusing
appropriate,aroit,ADJ,,,
audience,adic,NOUN,audiences,,
employ,ely,VERB,employs,employed,employing
objective,ocv,NOUN,objectives,,
attack,,VERB,attacks,attacked,attacking
useful,uel,ADJ,,,
cost,,VERB,costs,cost,costing
version,von,NOUN,versions,,
handle,hnd,VERB,handles,handled,handling
hole,,NOUN,holes,,
control,,VERB,controls,controlled,controlling
estimate,esima,VERB,estimates,estimated,estimating
act,,NOUN,acts,,
suppose,supe,VERB,supposes,supposed,supposing
fresh,,ADJ,,,
administration,aisr,NOUN,administrations,,
driving,dvn,VERB,drives,drove,driving
healthy,hty,ADJ,,,
protest,pros,NOUN,protests,,
reflect,refc,VERB,reflects,reflected,reflecting
opposition,osit,NOUN,oppositions,,
fee,,NOUN,fees,,
north,,NOUN,norths,,
pretty,pry,ADV,,,
university,uv,NOUN,universities,,
principle,prce,NOUN,principles,,
parking,prk,NOUN,parkings,,
huge,hue,ADJ,,,
charge,,VERB,charges,charged,charging
assume,,VERB,assumes,assumed,assuming
bag,,NOUN,bags,,
daily,,ADJ,,,
scale,scal,NOUN,scales,,
host,host,NOUN,hosts,,
significantly,sny,ADV,,,
wave,wav,NOUN,waves,,
one,,PRON,,,
furthermore,fho,ADV,,,
husband,hsd,NOUN,husbands,,
digital,dig,ADJ,,,
journey,jr,NOUN,journeys,,
forward,fora,ADV,,,
cook,cok,VERB,cooks,cooked,cooking
chemical,chma,ADJ,,,
contact,coat,NOUN,contacts,,
resistance,rsac,NOUN,resistances,,
leg,,NOUN,legs,,
commit,comi,VERB,commits,committed,committing
seed,,NOUN,seeds,,
fund,fun,NOUN,funds,,
failure,fue,NOUN,failures,,
prove,pv,VERB,proves,proved,proving
conflict,cft,NOUN,conflicts,,
love,,NOUN,love,,
birth,bih,NOUN,births,,
basis,bas,NOUN,bases,,
decrease,dcas,VERB,decreases,decreased,decreasing
basic,bsi,ADJ,,,
gun,gu,NOUN,guns,,
interested,insd,VERB,interests,interested,interesting
survive,suri,VERB,survives,survived,surviving
own,,VERB,owns,owned,owning
feeling,fg,NOUN,feelings,,
literature,ltu,NOUN,literatures,,
calculate,calte,VERB,calculates,calculated,calculating
comfortable,cmae,ADJ,,,
robot,rbt,NOUN,robots,,
What,,DET,,,
excellent,exc,ADJ,,,
novel,nvl,NOUN,novels,,
wood,,NOUN,woods,,
meal,mal,NOUN,meals,,
text,,NOUN,texts,,
contact,,VERB,contacts,contacted,contacting
relevant,rvt,ADJ,,,
sleep,,VERB,sleeps,slept,sleeping
defeat,dfa,VERB,defeats,defeated,defeating
proper,,ADJ,,,
agent,aget,NOUN,agents,,
Check,,VERB,checks,checked,checking
extend,exn,VERB,extends,extended,extending
display,disa,VERB,displays,displayed,displaying
sentence,sentc,NOUN,sentences,,
aircraft,aift,NOUN,aircrafts,,
county,cny,NOUN,counties,,
French,fch,ADJ,,,
efficiency,efic,NOUN,efficiencies,,
expensive,exv,ADJ,,,
request,rust,NOUN,requests,,
sale,,NOUN,sales,,
sight,siht,NOUN,sights,,
television,tlv,NOUN,televisions,,
suffer,,VERB,suffers,suffered,suffering
improvement,irot,NOUN,improvements,,
entrance,entac,NOUN,entrances,,
which,,DET,,,
possibly,pb,ADV,,,
ward,wrd,NOUN,wards,,
spring,srg,NOUN,springs,,
mix,mx,VERB,mixes,mixed,mixing
like,,SCONJ,,,
responsibility,rny,NOUN,responsibilities,,
issue,,VERB,issues,issued,issuing
fit,,VERB,fits,fitted,fitting
destroy,dey,VERB,destroys,destroyed,destroying
settle,,VERB,settles,settled,settling
consumption,csm,NOUN,consumptions,,
implement,ilen,VERB,implements,implemented,implementing
college,,NOUN,colleges,,
landscape,lnd,NOUN,landscapes,,
clinical,clia,ADJ,,,
view,,VERB,views,viewed,viewing
mission,misn,NOUN,missions,,
employee,empy,NOUN,employees,,
perspective,psct,NOUN,perspectives,,
link,,VERB,links,linked,linking
typically,tyl,ADV,,,
chair,,NOUN,chairs,,
budget,bue,NOUN,budgets,,
stuff,,NOUN,stuffs,,
thousand,thsa,NOUN,thousands,,
doctor,dcr,NOUN,doctors,,
religion,rig,NOUN,religions,,
host,,VERB,hosts,hosted,hosting
square,,NOUN,squares,,
variable,vb,NOUN,variables,,
strength,senh,NOUN,strengths,,
selection,scto,NOUN,selections,,
status,,NOUN,status ,,
wrong,wrg,ADJ,,,
dollar,dol,NOUN,dollars,,
play,,NOUN,plays,,
node,,NOUN,nodes,,
income,inco,NOUN,incomes,,
association,ascn,NOUN,associations,,
adult,,NOUN,adults,,
prefer,pef,VERB,prefers,preferred,preferring
screen,scrn,NOUN,screens,,
agreement,agrt,NOUN,agreements,,
medical,mica,ADJ,,,
railway,riw,NOUN,railways,,
extremely,exm,ADV,,,
politics,pics,NOUN,politicss,,
festival,feta,NOUN,festivals,,
nor,,CCONJ,,,
lady,ldy,NOUN,ladies,,
cluster,clst,NOUN,clusters,,
theory,toy,NOUN,theories,,
widely,wel,ADV,,,
competition,cmin,NOUN,competitions,,
help,,NOUN,helps,,
complete,,ADJ,,,
search,,VERB,searches,searched,searching
coach,coh,NOUN,coaches,,
oppose,,VERB,opposes,opposed,opposing
institution,iuo,NOUN,institutions,,
point,,VERB,points,pointed,pointing
store,,VERB,stores,stored,storing
west,wes,NOUN,wests,,
cultural,cutr,ADJ,,,
dry,dry,ADJ,,,
divide,,VERB,divides,divided,dividing
fair,fair,ADJ,,,
software,stw,NOUN,software,,
fruit,fui,NOUN,fruit,,
solve,,VERB,solves,solved,solving
reduction,rctn,NOUN,reductions,,
eventually,evta,ADV,,,
thank,thk,VERB,thanks,thanked,thanking
aware,awre,ADJ,,,
induce,iuce,VERB,induces,induced,inducing
Internet,inter,NOUN,Internets,,
motor,,NOUN,motors,,
organize,orni,VERB,organizes,organized,organizing
understanding,ueti,NOUN,understanding,,
neighborhood,neih,NOUN,neighborhoods,,
fuel,ful,NOUN,fuels,,
murder,mure,NOUN,murders,,
combination,coai,NOUN,combinations,,
pair,pair,NOUN,pairs,,
press,,VERB,presses,pressed,pressing
initial,inal,ADJ,,,
bury,bry,VERB,buries,buried,burying
m,,NOUN,ms,,
slowly,soy,ADV,,,
otherwise,othi,ADV,,,
medal,meal,NOUN,medals,,
score,,NOUN,scores,,
detection,decn,NOUN,detections,,
notice,notic,VERB,notices,noticed,noticing
warm,wam,ADJ,,,
regional,rgn,ADJ,,,
finger,fine,NOUN,fingers,,
historical,hisa,ADJ,,,
exactly,eaty,ADV,,,
run,,NOUN,runs,,
approach,,VERB,approaches,approached,approaching
expand,exd,VERB,expands,expanded,expanding
fan,,NOUN,fans,,
procedure,pcu,NOUN,procedures,,
print,,VERB,prints,printed,printing
Australian,astl,ADJ,,,
difficulty,dcu,NOUN,difficulties,,
crowd,cow,NOUN,crowds,,
certainly,ceay,ADV,,,
intervention,intv,NOUN,interventions,,
equipment,eunt,NOUN,equipment,,
escape,escap,VERB,escapes,scaped,scaping
bomb,,NOUN,bombs,,
stick,sck,VERB,sticks,stuck,sticking
panel,pael,NOUN,panels,,
specifically,scy,ADV,,,
lay,,NOUN,lays,,
religious,rios,ADJ,,,
context,ctx,NOUN,contexts,,
beat,beat,VERB,beats,beat,beating
stone,ston,NOUN,stones,,
regulation,rgt,NOUN,regulations,,
perfect,pft,ADJ,,,
finding,fig,VERB,finds,found,finding
none,,NOUN,nones,,
normal,noal,ADJ,,,
accus,,VERB,accus,accued,accuing
recorded,recd,VERB,records,recorded,recording
deliver,dlie,VERB,delivers,delivered,delivering
address,,NOUN,addresses,,
football,fb,NOUN,footballs,,
Italian,italn,ADJ,,,
category,coy,NOUN,categories,,
preserve,pve,VERB,preserves,preserved,preserving
assessment,asent,NOUN,assessments,,
clean,,VERB,cleans,cleaned,cleaning
depart,dear,VERB,departs,departed,departing
assess,,VERB,assesses,assessed,assessing
reporter,,NOUN,reporters,,
acid,,NOUN,acids,,
commercial,cora,ADJ,,,
enhance,enha,VERB,enhances,enhanced,enhancing
potential,,NOUN,potentials,,
mental,mnl,ADJ,,,
repeat,,VERB,repeats,repeated,repeating
publication,pica,NOUN,publications,,
science,scien,NOUN,sciences,,
forget,fge,VERB,forgets,forgot,forgetting
damage,dage,NOUN,damages,,
reply,repy,VERB,replies,replied,replying
leave,,NOUN,leaves,,
input,iput,NOUN,inputs,,
camp,cmp,NOUN,camps,,
Iranian,,ADJ,,,
middle,mile,NOUN,middles,,
extra,exta,ADJ,,,
unless,unl,SCONJ,,,
coat,,NOUN,coats,,
simulation,siao,NOUN,simulations,,
pain,,NOUN,pains,,
standard,stanr,NOUN,standards,,
challenge,,VERB,challenges,challenged,challenging
brain,brai,NOUN,brains,,
agency,ancy,NOUN,agencies,,
possibility,psy,NOUN,possibilities,,
launch,lunc,VERB,launches,launched,launching
gift,gft,NOUN,gifts,,
finding,,NOUN,findings,,
root,,NOUN,roots,,
German,gem,ADJ,,,
bird,bid,NOUN,birds,,
examine,exan,VERB,examines,examined,examining
English,eish,ADJ,,,
gather,ghe,VERB,gathers,gathered,gathering
settlement,slen,NOUN,settlements,,
comparison,coas,NOUN,comparisons,,
deny,dny,VERB,denies,denied,denying
appearance,aernc,NOUN,appearances,,
answer,,NOUN,answers,,
execute,exct,VERB,executes,executed,executing
transfer,traf,NOUN,transfers,,
protection,prtc,NOUN,protections,,
worry,woy,VERB,worries,worried,worrying
whatever,what,PRON,,,
attach,,VERB,attaches,attached,attaching
ride,,VERB,rides,rode,riding
battle,btl,NOUN,battles,,
quarter,,NOUN,quarters,,
ancient,aniet,ADJ,,,
zone,,NOUN,zones,,
writer,wite,NOUN,writers,,
surgery,sge,NOUN,surgeries,,
shot,,NOUN,shots,,
originally,ory,ADV,,,
separate,spate,ADJ,,,
friendly,fry,ADJ,,,
spatial,satil,ADJ,,,
voter,vter,NOUN,voters,,
lawyer,laye,NOUN,lawyers,,
laugh,lug,VERB,laughs,laughed,laughing
twice,twc,ADV,,,
cycle,cyl,NOUN,cycles,,
accident,aciet,NOUN,accidents,,
date,,VERB,dates,dated,dating
license,lice,NOUN,licenses,,
grant,gnt,VERB,grants,granted,granting
lay,,VERB,lays,layed,laying
likely,,ADV,,,
suddenly,sdy,ADV,,,
restore,,VERB,restores,restored,restoring
meat,,NOUN,meat,,
researcher,resac,NOUN,researchers,,
pronounce,pou,VERB,pronounces,pronounced,pronouncing
convert,cnv,VERB,converts,converted,converting
access,,VERB,accesses,accessed,accessing
advance,adv,VERB,advances,advanced,advancing
fun,,ADJ,,,
pool,pol,NOUN,pools,,
manager,mng,NOUN,managers,,
experiment,erim,NOUN,experiments,,
broad,bro,ADJ,,,
crew,cew,NOUN,crews,,
variation,vati,NOUN,variations,,
talk,,NOUN,talks,,
annual,,ADJ,,,
frequently,fty,ADV,,,
mouth,muh,NOUN,mouths,,
volume,vue,NOUN,volumes,,
strange,stg,ADJ,,,
agricultural,agit,ADJ,,,
cool,,ADJ,,,
touch,toch,VERB,touches,touched,touching
farmer,fame,NOUN,farmers,,
start,,NOUN,starts,,
percent,perct,NOUN,percents,,
claim,,NOUN,claims,,
cup,,NOUN,cups,,
hire,,VERB,hires,hired,hiring
load,load,NOUN,loads,,
chain,chan,NOUN,chains,,
Israeli,israe,ADJ,,,
British,bsh,ADJ,,,
inform,inrm,VERB,informs,informed,informing
billion,bio,NOUN,billions,,
noise,nois,NOUN,noises,,
storey,stry,NOUN,storeys,,
height,hegt,NOUN,heights,,
limit,,NOUN,limits,,
formation,fon,NOUN,formations,,
transportation,trasi,NOUN,transportations,,
clothes,cths,NOUN,clothess,,
Click,cik,VERB,clicks,clicked,clicking
call,,NOUN,calls,,
contribution,crin,NOUN,contributions,,
means,mans,NOUN,meanss,,
past,,NOUN,pasts,,
integrate,ing,VERB,integrates,integrated,integrating
conversation,cvea,NOUN,conversations,,
military,,NOUN,militaries,,
freedom,fom,NOUN,freedoms,,
dinner,dnr,NOUN,dinners,,
wonder,wder,VERB,wonders,wondered,wondering
architecture,ahite,NOUN,architectures,,
found,fou,VERB,finds,found,finding
direct,,VERB,directs,directed,directing
cloud,clod,NOUN,clouds,,
crop,crop,NOUN,crops,,
channel,chne,NOUN,channels,,
east,,NOUN,easts,,
session,,NOUN,sessions,,
tourism,tuis,NOUN,tourisms,,
biological,bioa,ADJ,,,
industrial,iul,ADJ,,,
threaten,thean,VERB,threatens,threatened,threatening
quick,,ADJ,,,
western,west,ADJ,,,
dry,,VERB,dries,dried,drying
sustainable,stb,ADJ,,,
actual,,ADJ,,,
snow,sow,NOUN,snows,,
resort,,NOUN,resorts,,
either,,DET,,,
dedicate,deica,VERB,dedicates,dedicated,dedicating
target,,VERB,targets,targeted,targeting
stream,sram,NOUN,streams,,
terminal,tnal,NOUN,terminals,,
fashion,fahi,NOUN,fashions,,
slow,slw,ADJ,,,
trend,,NOUN,trends,,
judge,jd,NOUN,judges,,
female,feal,ADJ,,,
stem,,NOUN,stems,,
average,avg,ADJ,,,
detect,,VERB,detects,detected,detecting
participant,prci,NOUN,participants,,
belief,bef,NOUN,beliefs,,
shore,,NOUN,shores,,
slightly,shy,ADV,,,
weekend,wkd,NOUN,weekends,,
burn,bun,VERB,burns,burnt,burning
schedule,shed,VERB,schedules,scheduled,scheduling
firm,firm,NOUN,firms,,
install,insta,VERB,instals,installed,installing
teacher,teacr,NOUN,teachers,,
stock,stck,NOUN,stocks,,
possession,posi,NOUN,possessions,,
rural,,ADJ,,,
attraction,acon,NOUN,attractions,,
density,desy,NOUN,densities,,
confidence,cnfe,NOUN,confidences,,
powerful,prf,ADJ,,,
invite,invte,VERB,invites,invited,inviting
contractor,cotr,NOUN,contractors,,
essential,esnia,ADJ,,,
comment,comn,NOUN,comments,,
emergency,erny,NOUN,emergencies,,
characterize,chti,VERB,characterizes,characterized,characterizing
household,hod,NOUN,households,,
intelligence,itlc,NOUN,intelligences,,
civil,cvl,ADJ,,,
metal,,NOUN,metals,,
profile,pfi,NOUN,profiles,,
master,mser,NOUN,masters,,
drive,,NOUN,drives,,
port,,NOUN,ports,,
exposure,exp,NOUN,exposures,,
turn,,NOUN,turns,,
danger,dng,NOUN,dangers,,
enable,enab,VERB,enables,enabled,enabling
dangerous,dou,ADJ,,,
exercise,excs,NOUN,exercises,,
highlight,higt,VERB,highlights,highlighted,highlighting
button,btn,NOUN,buttons,,
Avoid,,VERB,avoids,avoided,avoiding
breakfast,bes,NOUN,breakfasts,,
plastic,pasc,NOUN,plastics,,
bike,bke,NOUN,bikes,,
clearly,cary,ADV,,,
expert,exrt,NOUN,experts,,
assist,,VERB,assists,assisted,assisting
inspire,insre,VERB,inspires,inspired,inspiring
native,natv,ADJ,,,
busy,bus,ADJ,,,
derive,deri,VERB,derives,derived,deriving
justice,jt,NOUN,justices,,
sky,sky,NOUN,skies,,
grid,grd,NOUN,grids,,
code,,NOUN,codes,,
politician,poia,NOUN,politicians,,
i,,PRON,,,
package,pke,NOUN,packages,,
copy,cpy,NOUN,copies,,
observation,osra,NOUN,observations,,
fix,fx,VERB,fixes,fixed,fixing
acquire,acire,VERB,acquires,acquired,acquiring
library,liba,NOUN,libraries,,
arrange,arng,VERB,arranges,arranged,arranging
youth,yoh,NOUN,youths,,
schedule,,NOUN,schedules,,
camera,camr,NOUN,cameras,,
consequence,cons,NOUN,consequences,,
farm,farm,NOUN,farms,,
largely,lgy,ADV,,,
identity,,NOUN,identities,,
entry,enty,NOUN,entries,,
alternative,alv,NOUN,alternatives,,
hence,,ADV,,,
reader,,NOUN,readers,,
fellow,flw,NOUN,fellows,,
baby,bay,NOUN,babies,,
exchange,exh,NOUN,exchanges,,
adult,,ADJ,,,
latter,,ADJ,,,
actor,actor,NOUN,actors,,
compose,cmse,VERB,composes,composed,composing
email,email,NOUN,emails,,
scheme,shem,NOUN,schemes,,
somewhat,soha,ADV,,,
trouble,tub,NOUN,troubles,,
careful,caef,ADJ,,,
compound,cmu,NOUN,compounds,,
arrival,aivl,NOUN,arrivals,,
historic,hiso,ADJ,,,
origin,oig,NOUN,origins,,
hope,,NOUN,hopes,,
quiet,,ADJ,,,
truth,,NOUN,truths,,
web,web,NOUN,webs,,
along,alng,ADV,,,
predict,preit,VERB,predicts,predicted,predicting
magazine,mgi,NOUN,magazines,,
evaluation,evan,NOUN,evaluations,,
guy,gy,NOUN,guys,,
expose,exps,VERB,exposes,exposed,exposing
attitude,,NOUN,attitudes,,
block,bok,NOUN,blocks,,
hide,hide,VERB,hides,hid,hiding
airline,airne,NOUN,airlines,,
strongly,stnl,ADV,,,
standard,,ADJ,,,
rail,,NOUN,rails,,
temple,tpl,NOUN,temples,,
portrait,poit,NOUN,portraits,,
commonly,cmy,ADV,,,
accuracy,,NOUN,accuracies,,
recover,rcv,VERB,recovers,recovered,recovering
captain,catin,NOUN,captains,,
prison,pris,NOUN,prisons,,
properly,poy,ADV,,,
vision,vion,NOUN,visions,,
consumer,cnue,NOUN,consumers,,
housing,hui,NOUN,housings,,
voltage,vota,NOUN,voltages,,
defend,def,VERB,defends,defended,defending
anywhere,ayhe,ADV,,,
reality,raty,NOUN,realities,,
remaining,rmg,VERB,remains,remained,remaining
adjust,ajt,VERB,adjusts,adjusted,adjusting
shopping,shin,NOUN,shoppings,,
fear,,NOUN,fears,,
comic,,NOUN,comics,,
cave,,NOUN,caves,,
subsequently,suet,ADV,,,
present,,NOUN,presents,,
bright,biht,ADJ,,,
fourth,fuh,ADJ,,,
